iter	Passed	Remaining
0	381	381385
1	1217	6076622	1288	428099
3	1883	468998
4	2040	406109
5	2513	416452
6	2934	416321
77	3465	42972688	3836	42243899	4230	41881310	4604	413986
111	5177	42626512	5515	418755
13	5796	408226
14	6220	408477
15	6626	407537
16	7119	411645
17	7440	405926
18	8094	417940
19	8334	408378
20	8996	419425
21	9192	408659
22	9783	415589
23	10110	411140
24	10315	402318
225	11078	41502826	11180	402898227	11540	400635228	11890	398113229	12446	402423
30	12712	397378331	13122	396944332	13584	398062
333	14133	401543434	14619	403073535	15179	406485336	15566	405145337	16137	408540
38	16377	403550
39	16877	405062
40	17330	405375
41	17618	401874442	18276	406763
43	18706	406449
44	19011	403458
45	19342	401156446	19641	398258447	20075	398159
48	20690	401563
49	20972	398481
50	21307	396480
51	21690	395440
52	22079	394507
53	22518	394484
54	23078	396535
55	23397	394408
56	23912	395598
57	24003	389851
58	24599	392343
59	25114	393462
60	25358	390349
61	25386	384076
62	25816	383964
63	26222	383507
64	26611	382790
65	27100	383516
66	27431	381986767	27910	382538
68	28343	382438
69	28812	382791
70	29199	382060
71	29673	382454
72	30128	382590
73	30503	381709
74	31045	382891
75	31343	381074
76	31491	377487
77	31907	377167
78	32321	376816
79	32677	375788
80	33022	374663
81	33394	373852
82	33816	373608
83	34249	373478
84	34661	373119
85	34855	370438
86	35579	373382
87	35999	373089
88	36353	372112
89	36763	371718
90	37079	370386
91	37421	369333
92	37709	367770
93	38290	369058
94	38585	367575
95	39123	368415
96	39416	366935
97	39918	367414
98	40313	366891
99	40949	368547
100	41359	368141
101	41664	366815
102	42054	366241
103	42350	364867
104	42731	364235
105	43213	364459
106	43569	363618
107	43930	362831
108	44357	362595
109	44727	361887
110	45356	363256
111	46073	365298
112	46290	363358
113	46553	361810
114	46928	361144
115	47371	361003
116	47820	360901
117	48250	360651
118	48778	361128
119	49184	360689
120	49599	360313
121	50140	360849
122	50685	361393
123	51108	361060
124	51669	361686
125	52236	362339
126	52620	361715
127	52965	360829
128	53269	359670
129	53899	360710
130	54292	360155
131	54717	359809
132	55245	360131
133	55710	360038
134	56161	359852
135	56488	358866
